"lon.x","lat.x","lon.y","lat.y"
13.3384366,52.4947915,13.4257482,52.4794014
13.3384366,52.4947915,13.5758664,52.4544865
13.3544811,52.5487229,13.4385315,52.4772825
13.3544811,52.5487229,13.578739,52.4582343
13.3544811,52.5487229,13.4903858,52.6171891
13.3544811,52.5487229,13.5197445,52.4973666
13.3544811,52.5487229,13.4558164,52.5011202
13.3544811,52.5487229,13.3384366,52.4947915
13.3544811,52.5487229,13.4317848,52.5321626
13.3544811,52.5487229,13.3854369,52.537972
13.3544811,52.5487229,13.4451781,52.4789497
13.3544811,52.5487229,13.414668,52.5476945
13.3544811,52.5487229,13.4658756,52.5062364
13.3544811,52.5487229,13.3059616,52.4174336
13.3544811,52.5487229,13.5073798,52.499528
13.3544811,52.5487229,13.6007627,52.4766287
13.3544811,52.5487229,13.3224732,52.4888204
13.3544811,52.5487229,13.385819,52.4655002
13.3544811,52.5487229,13.4092711,52.3870475
13.3544811,52.5487229,13.288548,52.5106649
13.3544811,52.5487229,13.3299374,52.478841
13.3544811,52.5487229,13.6207446,52.5302632
13.3544811,52.5487229,13.5087387,52.4515623
13.3544811,52.5487229,13.3888668,52.4369281
13.3544811,52.5487229,13.3262036,52.4274299
13.3544811,52.5487229,13.4396888,52.4749812
13.3544811,52.5487229,13.389148,52.5499775
13.3544811,52.5487229,13.4423197,52.5431994
13.3544811,52.5487229,13.3702571,52.4215579
13.3544811,52.5487229,13.3621019,52.4986655
13.3544811,52.5487229,13.2612183,52.4444399
13.3544811,52.5487229,13.2013519,52.5480636
13.3544811,52.5487229,13.2869838,52.6325774
13.3544811,52.5487229,13.4779131,52.4292698
13.3544811,52.5487229,13.3077938,52.5067993
13.3544811,52.5487229,13.4208136,52.5242742
13.3544811,52.5487229,13.524681,52.4826375
13.3544811,52.5487229,13.3046189,52.5116978
13.3544811,52.5487229,13.5724583,52.5678242
13.3544811,52.5487229,13.3305311,52.5000244
13.3544811,52.5487229,13.4570794,52.42958
13.3544811,52.5487229,13.5138426,52.4644311
13.3544811,52.5487229,13.5211971,52.4519052
13.3544811,52.5487229,13.4597629,52.5504319
13.3544811,52.5487229,13.3266521,52.4645078
13.3544811,52.5487229,13.4129908,52.5028987
13.3544811,52.5487229,13.4545649,52.5926519
13.3544811,52.5487229,13.2716196,52.510489
13.3544811,52.5487229,13.301616,52.58365
13.3544811,52.5487229,13.4318149,52.4674061
13.3544811,52.5487229,13.5114082,52.4562685
13.3544811,52.5487229,13.2003621,52.5492831
13.3544811,52.5487229,13.3429298,52.5034922
13.3544811,52.5487229,13.3441921,52.4790182
13.3544811,52.5487229,13.7098785,52.4327628
13.3544811,52.5487229,13.4687184,52.517371
13.3544811,52.5487229,13.3687255,52.5450121
13.3544811,52.5487229,13.397257,52.5657093
13.3544811,52.5487229,13.353572,52.5492948
13.3544811,52.5487229,13.4299166,52.4864089
13.3544811,52.5487229,13.4485423,52.5533264
13.3544811,52.5487229,13.2933481,52.4746934
13.3544811,52.5487229,13.4884685,52.5125447
13.3544811,52.5487229,13.349704,52.4824046
13.3544811,52.5487229,13.436347,52.4803184
13.3544811,52.5487229,13.54354,52.523624
13.3544811,52.5487229,13.3833386,52.4838713
13.3544811,52.5487229,13.1948184,52.5208942
13.3544811,52.5487229,13.1977213,52.5333159
13.3544811,52.5487229,13.6054819,52.5373893
13.3544811,52.5487229,13.3347863,52.470726
13.3544811,52.5487229,13.382582,52.5919218
13.3544811,52.5487229,13.4168547,52.5721364
13.3544811,52.5487229,13.3609228,52.4977903
13.3544811,52.5487229,13.3588471,52.4885088
13.3544811,52.5487229,13.523971,52.4029891
13.3544811,52.5487229,13.3684082,52.4193408
13.3544811,52.5487229,13.660795,52.4125675
13.3544811,52.5487229,13.3357313,52.5265328
13.3544811,52.5487229,13.2640301,52.4870726
13.3544811,52.5487229,13.456251,52.549258
13.3544811,52.5487229,13.3354795,52.5595433
13.3544811,52.5487229,13.3561028,52.5207469
13.3544811,52.5487229,13.3302765,52.5269197
13.3544811,52.5487229,13.4591942,52.5603111
13.3544811,52.5487229,13.1424401,52.5249401
13.3544811,52.5487229,13.3550173,52.4857214
13.3544811,52.5487229,13.3988143,52.5351745
13.3544811,52.5487229,13.3071263,52.4466712
13.3544811,52.5487229,13.1879163,52.5372848
13.3544811,52.5487229,13.2388868,52.5424964
13.3544811,52.5487229,13.4358143,52.483576
13.3544811,52.5487229,13.3794057,52.5530897
13.3544811,52.5487229,13.3045254,52.5161696
13.3544811,52.5487229,13.4536256,52.4292565
13.3544811,52.5487229,13.4354863,52.4230534
13.3544811,52.5487229,13.380108,52.4388221
13.3544811,52.5487229,13.2684032,52.5369057
13.3544811,52.5487229,13.4350711,52.46018
13.3544811,52.5487229,13.4257482,52.4794014
13.3544811,52.5487229,13.5758664,52.4544865
13.4317848,52.5321626,13.4385315,52.4772825
13.4317848,52.5321626,13.578739,52.4582343
13.4317848,52.5321626,13.4903858,52.6171891
13.4317848,52.5321626,13.5197445,52.4973666
13.4317848,52.5321626,13.4558164,52.5011202
13.4317848,52.5321626,13.3384366,52.4947915
13.4317848,52.5321626,13.3544811,52.5487229
13.4317848,52.5321626,13.3854369,52.537972
13.4317848,52.5321626,13.4451781,52.4789497
13.4317848,52.5321626,13.414668,52.5476945
13.4317848,52.5321626,13.4658756,52.5062364
13.4317848,52.5321626,13.3059616,52.4174336
13.4317848,52.5321626,13.5073798,52.499528
13.4317848,52.5321626,13.6007627,52.4766287
13.4317848,52.5321626,13.3224732,52.4888204
13.4317848,52.5321626,13.385819,52.4655002
13.4317848,52.5321626,13.4092711,52.3870475
13.4317848,52.5321626,13.288548,52.5106649
13.4317848,52.5321626,13.3299374,52.478841
13.4317848,52.5321626,13.6207446,52.5302632
13.4317848,52.5321626,13.5087387,52.4515623
13.4317848,52.5321626,13.3888668,52.4369281
13.4317848,52.5321626,13.3262036,52.4274299
13.4317848,52.5321626,13.4396888,52.4749812
13.4317848,52.5321626,13.389148,52.5499775
13.4317848,52.5321626,13.4423197,52.5431994
13.4317848,52.5321626,13.3702571,52.4215579
13.4317848,52.5321626,13.3621019,52.4986655
13.4317848,52.5321626,13.2612183,52.4444399
13.4317848,52.5321626,13.2013519,52.5480636
13.4317848,52.5321626,13.2869838,52.6325774
13.4317848,52.5321626,13.4779131,52.4292698
13.4317848,52.5321626,13.3077938,52.5067993
13.4317848,52.5321626,13.4208136,52.5242742
13.4317848,52.5321626,13.524681,52.4826375
13.4317848,52.5321626,13.3046189,52.5116978
13.4317848,52.5321626,13.5724583,52.5678242
13.4317848,52.5321626,13.3305311,52.5000244
13.4317848,52.5321626,13.4570794,52.42958
13.4317848,52.5321626,13.5138426,52.4644311
13.4317848,52.5321626,13.5211971,52.4519052
13.4317848,52.5321626,13.4597629,52.5504319
13.4317848,52.5321626,13.3266521,52.4645078
13.4317848,52.5321626,13.4129908,52.5028987
13.4317848,52.5321626,13.4545649,52.5926519
13.4317848,52.5321626,13.2716196,52.510489
13.4317848,52.5321626,13.301616,52.58365
13.4317848,52.5321626,13.4318149,52.4674061
13.4317848,52.5321626,13.5114082,52.4562685
13.4317848,52.5321626,13.2003621,52.5492831
13.4317848,52.5321626,13.3429298,52.5034922
13.4317848,52.5321626,13.3441921,52.4790182
13.4317848,52.5321626,13.7098785,52.4327628
13.4317848,52.5321626,13.4687184,52.517371
13.4317848,52.5321626,13.3687255,52.5450121
13.4317848,52.5321626,13.397257,52.5657093
13.4317848,52.5321626,13.353572,52.5492948
13.4317848,52.5321626,13.4299166,52.4864089
13.4317848,52.5321626,13.4485423,52.5533264
13.4317848,52.5321626,13.2933481,52.4746934
13.4317848,52.5321626,13.4884685,52.5125447
13.4317848,52.5321626,13.349704,52.4824046
13.4317848,52.5321626,13.436347,52.4803184
13.4317848,52.5321626,13.54354,52.523624
13.4317848,52.5321626,13.3833386,52.4838713
13.4317848,52.5321626,13.1948184,52.5208942
13.4317848,52.5321626,13.1977213,52.5333159
13.4317848,52.5321626,13.6054819,52.5373893
13.4317848,52.5321626,13.3347863,52.470726
13.4317848,52.5321626,13.382582,52.5919218
13.4317848,52.5321626,13.4168547,52.5721364
13.4317848,52.5321626,13.3609228,52.4977903
13.4317848,52.5321626,13.3588471,52.4885088
13.4317848,52.5321626,13.523971,52.4029891
13.4317848,52.5321626,13.3684082,52.4193408
13.4317848,52.5321626,13.660795,52.4125675
13.4317848,52.5321626,13.3357313,52.5265328
13.4317848,52.5321626,13.2640301,52.4870726
13.4317848,52.5321626,13.456251,52.549258
13.4317848,52.5321626,13.3354795,52.5595433
13.4317848,52.5321626,13.3561028,52.5207469
13.4317848,52.5321626,13.3302765,52.5269197
13.4317848,52.5321626,13.4591942,52.5603111
13.4317848,52.5321626,13.1424401,52.5249401
13.4317848,52.5321626,13.3550173,52.4857214
13.4317848,52.5321626,13.3988143,52.5351745
13.4317848,52.5321626,13.3071263,52.4466712
13.4317848,52.5321626,13.1879163,52.5372848
13.4317848,52.5321626,13.2388868,52.5424964
13.4317848,52.5321626,13.4358143,52.483576
13.4317848,52.5321626,13.3794057,52.5530897
13.4317848,52.5321626,13.3045254,52.5161696
13.4317848,52.5321626,13.4536256,52.4292565
13.4317848,52.5321626,13.4354863,52.4230534
13.4317848,52.5321626,13.380108,52.4388221
13.4317848,52.5321626,13.2684032,52.5369057
13.4317848,52.5321626,13.4350711,52.46018
13.4317848,52.5321626,13.4257482,52.4794014
13.4317848,52.5321626,13.5758664,52.4544865
13.3854369,52.537972,13.4385315,52.4772825
13.3854369,52.537972,13.578739,52.4582343
13.3854369,52.537972,13.4903858,52.6171891
13.3854369,52.537972,13.5197445,52.4973666
13.3854369,52.537972,13.4558164,52.5011202
13.3854369,52.537972,13.3384366,52.4947915
13.3854369,52.537972,13.3544811,52.5487229
13.3854369,52.537972,13.4317848,52.5321626
13.3854369,52.537972,13.4451781,52.4789497
13.3854369,52.537972,13.414668,52.5476945
13.3854369,52.537972,13.4658756,52.5062364
13.3854369,52.537972,13.3059616,52.4174336
13.3854369,52.537972,13.5073798,52.499528
13.3854369,52.537972,13.6007627,52.4766287
13.3854369,52.537972,13.3224732,52.4888204
13.3854369,52.537972,13.385819,52.4655002
13.3854369,52.537972,13.4092711,52.3870475
13.3854369,52.537972,13.288548,52.5106649
13.3854369,52.537972,13.3299374,52.478841
13.3854369,52.537972,13.6207446,52.5302632
13.3854369,52.537972,13.5087387,52.4515623
13.3854369,52.537972,13.3888668,52.4369281
13.3854369,52.537972,13.3262036,52.4274299
13.3854369,52.537972,13.4396888,52.4749812
13.3854369,52.537972,13.389148,52.5499775
13.3854369,52.537972,13.4423197,52.5431994
13.3854369,52.537972,13.3702571,52.4215579
13.3854369,52.537972,13.3621019,52.4986655
13.3854369,52.537972,13.2612183,52.4444399
13.3854369,52.537972,13.2013519,52.5480636
13.3854369,52.537972,13.2869838,52.6325774
13.3854369,52.537972,13.4779131,52.4292698
13.3854369,52.537972,13.3077938,52.5067993
13.3854369,52.537972,13.4208136,52.5242742
13.3854369,52.537972,13.524681,52.4826375
13.3854369,52.537972,13.3046189,52.5116978
13.3854369,52.537972,13.5724583,52.5678242
13.3854369,52.537972,13.3305311,52.5000244
13.3854369,52.537972,13.4570794,52.42958
13.3854369,52.537972,13.5138426,52.4644311
13.3854369,52.537972,13.5211971,52.4519052
13.3854369,52.537972,13.4597629,52.5504319
13.3854369,52.537972,13.3266521,52.4645078
13.3854369,52.537972,13.4129908,52.5028987
13.3854369,52.537972,13.4545649,52.5926519
13.3854369,52.537972,13.2716196,52.510489
13.3854369,52.537972,13.301616,52.58365
13.3854369,52.537972,13.4318149,52.4674061
13.3854369,52.537972,13.5114082,52.4562685
13.3854369,52.537972,13.2003621,52.5492831
13.3854369,52.537972,13.3429298,52.5034922
13.3854369,52.537972,13.3441921,52.4790182
13.3854369,52.537972,13.7098785,52.4327628
13.3854369,52.537972,13.4687184,52.517371
13.3854369,52.537972,13.3687255,52.5450121
13.3854369,52.537972,13.397257,52.5657093
13.3854369,52.537972,13.353572,52.5492948
13.3854369,52.537972,13.4299166,52.4864089
13.3854369,52.537972,13.4485423,52.5533264
13.3854369,52.537972,13.2933481,52.4746934
13.3854369,52.537972,13.4884685,52.5125447
13.3854369,52.537972,13.349704,52.4824046
13.3854369,52.537972,13.436347,52.4803184
13.3854369,52.537972,13.54354,52.523624
13.3854369,52.537972,13.3833386,52.4838713
13.3854369,52.537972,13.1948184,52.5208942
13.3854369,52.537972,13.1977213,52.5333159
13.3854369,52.537972,13.6054819,52.5373893
13.3854369,52.537972,13.3347863,52.470726
13.3854369,52.537972,13.382582,52.5919218
13.3854369,52.537972,13.4168547,52.5721364
13.3854369,52.537972,13.3609228,52.4977903
13.3854369,52.537972,13.3588471,52.4885088
13.3854369,52.537972,13.523971,52.4029891
13.3854369,52.537972,13.3684082,52.4193408
13.3854369,52.537972,13.660795,52.4125675
13.3854369,52.537972,13.3357313,52.5265328
13.3854369,52.537972,13.2640301,52.4870726
13.3854369,52.537972,13.456251,52.549258
13.3854369,52.537972,13.3354795,52.5595433
13.3854369,52.537972,13.3561028,52.5207469
13.3854369,52.537972,13.3302765,52.5269197
13.3854369,52.537972,13.4591942,52.5603111
13.3854369,52.537972,13.1424401,52.5249401
13.3854369,52.537972,13.3550173,52.4857214
13.3854369,52.537972,13.3988143,52.5351745
13.3854369,52.537972,13.3071263,52.4466712
13.3854369,52.537972,13.1879163,52.5372848
13.3854369,52.537972,13.2388868,52.5424964
13.3854369,52.537972,13.4358143,52.483576
13.3854369,52.537972,13.3794057,52.5530897
13.3854369,52.537972,13.3045254,52.5161696
13.3854369,52.537972,13.4536256,52.4292565
13.3854369,52.537972,13.4354863,52.4230534
13.3854369,52.537972,13.380108,52.4388221
13.3854369,52.537972,13.2684032,52.5369057
13.3854369,52.537972,13.4350711,52.46018
13.3854369,52.537972,13.4257482,52.4794014
13.3854369,52.537972,13.5758664,52.4544865
13.4451781,52.4789497,13.4385315,52.4772825
13.4451781,52.4789497,13.578739,52.4582343
13.4451781,52.4789497,13.4903858,52.6171891
13.4451781,52.4789497,13.5197445,52.4973666
13.4451781,52.4789497,13.4558164,52.5011202
13.4451781,52.4789497,13.3384366,52.4947915
13.4451781,52.4789497,13.3544811,52.5487229
13.4451781,52.4789497,13.4317848,52.5321626
13.4451781,52.4789497,13.3854369,52.537972
13.4451781,52.4789497,13.414668,52.5476945
13.4451781,52.4789497,13.4658756,52.5062364
13.4451781,52.4789497,13.3059616,52.4174336
13.4451781,52.4789497,13.5073798,52.499528
13.4451781,52.4789497,13.6007627,52.4766287
13.4451781,52.4789497,13.3224732,52.4888204
13.4451781,52.4789497,13.385819,52.4655002
13.4451781,52.4789497,13.4092711,52.3870475
13.4451781,52.4789497,13.288548,52.5106649
13.4451781,52.4789497,13.3299374,52.478841
13.4451781,52.4789497,13.6207446,52.5302632
13.4451781,52.4789497,13.5087387,52.4515623
13.4451781,52.4789497,13.3888668,52.4369281
13.4451781,52.4789497,13.3262036,52.4274299
13.4451781,52.4789497,13.4396888,52.4749812
13.4451781,52.4789497,13.389148,52.5499775
13.4451781,52.4789497,13.4423197,52.5431994
13.4451781,52.4789497,13.3702571,52.4215579
13.4451781,52.4789497,13.3621019,52.4986655
13.4451781,52.4789497,13.2612183,52.4444399
13.4451781,52.4789497,13.2013519,52.5480636
13.4451781,52.4789497,13.2869838,52.6325774
13.4451781,52.4789497,13.4779131,52.4292698
13.4451781,52.4789497,13.3077938,52.5067993
13.4451781,52.4789497,13.4208136,52.5242742
13.4451781,52.4789497,13.524681,52.4826375
13.4451781,52.4789497,13.3046189,52.5116978
13.4451781,52.4789497,13.5724583,52.5678242
13.4451781,52.4789497,13.3305311,52.5000244
13.4451781,52.4789497,13.4570794,52.42958
13.4451781,52.4789497,13.5138426,52.4644311
13.4451781,52.4789497,13.5211971,52.4519052
13.4451781,52.4789497,13.4597629,52.5504319
13.4451781,52.4789497,13.3266521,52.4645078
13.4451781,52.4789497,13.4129908,52.5028987
13.4451781,52.4789497,13.4545649,52.5926519
13.4451781,52.4789497,13.2716196,52.510489
13.4451781,52.4789497,13.301616,52.58365
13.4451781,52.4789497,13.4318149,52.4674061
13.4451781,52.4789497,13.5114082,52.4562685
13.4451781,52.4789497,13.2003621,52.5492831
13.4451781,52.4789497,13.3429298,52.5034922
13.4451781,52.4789497,13.3441921,52.4790182
13.4451781,52.4789497,13.7098785,52.4327628
13.4451781,52.4789497,13.4687184,52.517371
13.4451781,52.4789497,13.3687255,52.5450121
13.4451781,52.4789497,13.397257,52.5657093
13.4451781,52.4789497,13.353572,52.5492948
13.4451781,52.4789497,13.4299166,52.4864089
13.4451781,52.4789497,13.4485423,52.5533264
13.4451781,52.4789497,13.2933481,52.4746934
13.4451781,52.4789497,13.4884685,52.5125447
13.4451781,52.4789497,13.349704,52.4824046
13.4451781,52.4789497,13.436347,52.4803184
13.4451781,52.4789497,13.54354,52.523624
13.4451781,52.4789497,13.3833386,52.4838713
13.4451781,52.4789497,13.1948184,52.5208942
13.4451781,52.4789497,13.1977213,52.5333159
13.4451781,52.4789497,13.6054819,52.5373893
13.4451781,52.4789497,13.3347863,52.470726
13.4451781,52.4789497,13.382582,52.5919218
13.4451781,52.4789497,13.4168547,52.5721364
13.4451781,52.4789497,13.3609228,52.4977903
13.4451781,52.4789497,13.3588471,52.4885088
13.4451781,52.4789497,13.523971,52.4029891
13.4451781,52.4789497,13.3684082,52.4193408
13.4451781,52.4789497,13.660795,52.4125675
13.4451781,52.4789497,13.3357313,52.5265328
13.4451781,52.4789497,13.2640301,52.4870726
13.4451781,52.4789497,13.456251,52.549258
13.4451781,52.4789497,13.3354795,52.5595433
13.4451781,52.4789497,13.3561028,52.5207469
13.4451781,52.4789497,13.3302765,52.5269197
13.4451781,52.4789497,13.4591942,52.5603111
13.4451781,52.4789497,13.1424401,52.5249401
13.4451781,52.4789497,13.3550173,52.4857214
13.4451781,52.4789497,13.3988143,52.5351745
13.4451781,52.4789497,13.3071263,52.4466712
13.4451781,52.4789497,13.1879163,52.5372848
13.4451781,52.4789497,13.2388868,52.5424964
13.4451781,52.4789497,13.4358143,52.483576
13.4451781,52.4789497,13.3794057,52.5530897
13.4451781,52.4789497,13.3045254,52.5161696
13.4451781,52.4789497,13.4536256,52.4292565
13.4451781,52.4789497,13.4354863,52.4230534
13.4451781,52.4789497,13.380108,52.4388221
13.4451781,52.4789497,13.2684032,52.5369057
13.4451781,52.4789497,13.4350711,52.46018
13.4451781,52.4789497,13.4257482,52.4794014
13.4451781,52.4789497,13.5758664,52.4544865
13.414668,52.5476945,13.4385315,52.4772825
13.414668,52.5476945,13.578739,52.4582343
13.414668,52.5476945,13.4903858,52.6171891
13.414668,52.5476945,13.5197445,52.4973666
13.414668,52.5476945,13.4558164,52.5011202
13.414668,52.5476945,13.3384366,52.4947915
13.414668,52.5476945,13.3544811,52.5487229
13.414668,52.5476945,13.4317848,52.5321626
13.414668,52.5476945,13.3854369,52.537972
13.414668,52.5476945,13.4451781,52.4789497
13.414668,52.5476945,13.4658756,52.5062364
13.414668,52.5476945,13.3059616,52.4174336
13.414668,52.5476945,13.5073798,52.499528
13.414668,52.5476945,13.6007627,52.4766287
13.414668,52.5476945,13.3224732,52.4888204
13.414668,52.5476945,13.385819,52.4655002
13.414668,52.5476945,13.4092711,52.3870475
13.414668,52.5476945,13.288548,52.5106649
13.414668,52.5476945,13.3299374,52.478841
13.414668,52.5476945,13.6207446,52.5302632
13.414668,52.5476945,13.5087387,52.4515623
13.414668,52.5476945,13.3888668,52.4369281
13.414668,52.5476945,13.3262036,52.4274299
13.414668,52.5476945,13.4396888,52.4749812
13.414668,52.5476945,13.389148,52.5499775
13.414668,52.5476945,13.4423197,52.5431994
13.414668,52.5476945,13.3702571,52.4215579
13.414668,52.5476945,13.3621019,52.4986655
13.414668,52.5476945,13.2612183,52.4444399
13.414668,52.5476945,13.2013519,52.5480636
13.414668,52.5476945,13.2869838,52.6325774
13.414668,52.5476945,13.4779131,52.4292698
13.414668,52.5476945,13.3077938,52.5067993
13.414668,52.5476945,13.4208136,52.5242742
13.414668,52.5476945,13.524681,52.4826375
13.414668,52.5476945,13.3046189,52.5116978
13.414668,52.5476945,13.5724583,52.5678242
13.414668,52.5476945,13.3305311,52.5000244
13.414668,52.5476945,13.4570794,52.42958
13.414668,52.5476945,13.5138426,52.4644311
13.414668,52.5476945,13.5211971,52.4519052
13.414668,52.5476945,13.4597629,52.5504319
13.414668,52.5476945,13.3266521,52.4645078
13.414668,52.5476945,13.4129908,52.5028987
13.414668,52.5476945,13.4545649,52.5926519
13.414668,52.5476945,13.2716196,52.510489
